Course Name,Room Number,Time
BS CS (2024),,
PF (CS-A),,
AP (CS-A),,
PF (CS-C),,
AP (CS-B),,
PF (CS-B),,
PF (CS-D),,
AP (CS-D),,
AP (CS-C),,
IICT Lab (CS-C),,
IICT Lab (CS-A),,
Func Eng Lab (CS-D1),,
Func Eng Lab (CS-B1),,
Func Eng Lab (CS-D2),,
Func Eng Lab (CS-B2),,
BS CS (2024),,
Islamic (CS-B) 08:30-10:15       Understand Quran (CS-B) 10:20-11:15,,
Func Eng (CS-A) 11:30-01:15,,
Func Eng (CS-C) 02:00-03:45,,
Calculus (CS-D),,
Calculus (CS-C),,
Calculus (CS-B),,
PF (CS-E),,
AP (CS-E),,
Understand Quran (CS-D) 11:30-12:25      Islamic (CS-D) 12:30-02:15,,
Calculus (CS-A),,
AP (CS-F),,
PF (CS-F),,
PF (CS-G),,
AP (CS-G),,
PF Lab (CS-C),,
IICT Lab (CS-E),,
IICT Lab (CS-G),,
PF Lab (CS-A),,
Func Eng Lab (CS-F1),,
Func Eng Lab (CS-F2),,
PF (CS-A),,
AP (CS-A),,
PF (CS-C),,
AP (CS-B),,
PF (CS-B),,
PF (CS-D),,
AP (CS-D),,
Islamic (CS-F) 08:30-10:15     Understand Quran (CS-F) 10:20-11:15,,
Calculus (CS-E),,
Calculus (CS-G),,
Calculus (CS-F),,
Func Eng (CS-E) 11:30-01:15,,
Func Eng (CS-G) 02:00-03:45,,
AP (CS-C),,
IICT Lab (CS-D),,
IICT Lab (CS-B),,
PF Lab (CS-G),,
PF Lab (CS-E),,
Func Eng Lab (CS-C1),,
Func Eng Lab (CS-A1),,
Func Eng Lab (CS-C2),,
Func Eng Lab (CS-A2),,
BS CS (2024),,
Understand Quran (CS-C) 08:30-09:25      Islamic (CS-C) 09:30-11:15,,
Understand Quran (CS-A) 11:30-12:25      Islamic (CS-A) 12:30-02:15,,
Calculus (CS-D),,
Calculus (CS-C),,
Calculus (CS-B),,
Func Eng (CS-B) 02:30-04:15,,
PF (CS-E),,
AP (CS-E),,
Func Eng (CS-D) 11:30-01:15,,
Calculus (CS-A),,
AP (CS-F),,
PF (CS-F),,
PF (CS-G),,
AP (CS-G),,
PF Lab (CS-B)CANCELLED,,
IICT Lab (CS-F),,
PF Lab (CS-D)CANCELLED,,
Func Eng Lab (CS-G1),,
Func Eng Lab (CS-E1),,
Func Eng Lab (CS-G2),,
Func Eng Lab (CS-E2),,
BS CS (2024),,
Calculus (CS-E),,
Calculus (CS-G),,
Func Eng (CS-F) 02:00-03:45,,
Islamic (CS-G) 08:30-10:15     Understand Quran (CS-G) 10:20-11:15,,
Calculus (CS-F),,
Islamic (CS-E) 10:00-11:45     Understand Quran (CS-E) 11:50-12:45,,
PF Lab (CS-F),,
